"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 4",1,0,1723393,1,16,"__omp_dm_init_kernel",3,765570656662886,765570656671366,0,0,12,4,16,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,2,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",216,765571639800046,765571641085340,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,3,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",217,765571641121660,765571646218675,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,4,13,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",218,765571646327316,765571654696047,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,5,8,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",226,765571654963890,765571656981352,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,6,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",231,765571657062952,765571663690864,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,7,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",236,765571663875986,765571672687281,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,8,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",238,765571672911124,765571677509414,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,9,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",239,765571677611655,765571682126264,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,10,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",240,765571682234265,765571686595592,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,11,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",241,765571686699273,765571687991927,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,12,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",242,765571688015607,765571693064142,0,0,36,4,64,256,1,1,112640,1,1
